summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
ic2eAE3Nk56QZJOSvudk2lCn5Zbg1a5TNuyBlnZGR1Tvvs7SQvmskUjH_w,AtilganBoy,863,I,90,45,False,False,True,True
XJkeS3vBoNb1wnIdzGeVSA5TCvM7dHuRLZR-v1xM1pI55PE,Stormaxx,912,I,92,48,False,False,False,True
T5Soh4A4Z0Rxzy3KjKizpoU4WDPKoBdNk40glJjdvQJyBZwmoMHUGwbyqA,PiskHeLLo,890,I,264,209,False,False,False,False
i2cWTyARLjn8X0TAwIVGj_BNzbPcQQLtIWy--2X3pkSQFMY,Kaimietis3,1458,I,199,125,False,False,False,False
BMM6_bNFiDcOwOnjDd_pQYUita1CNLAIOq3n37Mz05ztVsU,Pyrkã,1261,I,172,102,False,False,False,False
_wqIDIYDywyIuENQ370prpUozVsvZM0BsCRIjlbgYK24Tag,danka no stylist,869,I,137,96,False,False,False,False
MbyhQDzUS8Cy3sgEigXJbFC3lINqnpOq5F6x5wkRoq884ro,c0st0m,859,I,168,132,False,False,True,True
0yshS7gb2LCRLrfkY7fByDbSl5CTVEcAjx5AjGxWHdo8o1r2,Shawi Katami,842,I,466,425,False,False,True,False
6NGNZ7_9T4qIjaqAFCSv6vxVlReNa4Mg-FcY6tb3-fluaWA,Wesley Warren Jr,1259,I,195,134,True,False,False,False
q0EMb_oQltgykubEI098355JivWUBPT-IPM-isKUS_AL7dQ,tibor,929,I,138,91,False,False,False,False
7wOuNkux8GeKdCC9pS-rfWzemK4o6ponXwKthx_40p5Rqok,Bard Fred,863,I,138,81,False,False,False,False
pgtJamzBMqcGtlbpFc2XGfEvgYZ7r7K7A8paqyozs9H9sgUMTo43yI0jWg,LVL3 mid gank,945,I,104,56,False,False,True,True
MWInc6NpGKsQ12p0OJKRFlGewVVNRM-CJiszbWu6ktFQBSEbHh43XknX0A,quzquzquzAM,864,I,313,243,False,False,True,False
9sXiQNthwSQBnJaWbvIrixgwajkJoryokHPPK63VOtUm7hw,TOPIrrelevant,1229,I,274,213,True,False,False,False
vwUm9MGs92XtqOjEPtTuZwQwJuVmdivqyu4MpDNXwkwWHzw,LeonardoDiCassio,1077,I,217,165,True,False,False,False
SjLk40pFjBo-Va4U6pWyp6FwzM6qerOywHjo8E2n4WNIIktX,Hans SamB,1094,I,167,111,True,False,False,False
TbqsVN2U5iEVXNa_kUMgkjiMkvbTLwCsGVHhL24jgefek10BHbHPidXuQA,,1058,I,353,278,True,False,False,True
pU40ut77A7ROVr23CSPVYjcX5MGJrgi_Qab-v6wp7UTtohfmXMD7d-eUnQ,Biscuitus,935,I,159,114,False,False,False,False
MI0buypp0UNTekE3DlFU0muuejNku--Js8N1O9qUXy5BRtv5,see you later eu,1209,I,261,196,True,False,False,False
2BIufGnxiagEEs71ulOlmfd7ekiHKc2k6WmZe3bQqS-R0kI,Sinerias,1109,I,214,157,True,False,False,False
SV0cSdehW3gcb0zXQs6TcSna3Gxif0cbATGOnILl3TwfrIfXoUlJ0s2TcA,Αετινοθ,860,I,102,64,False,False,True,False
9ihSOdyVg5l-oY41AicsGJxbrrZ0txdKzWi_wgFZhdi_v9s,Captain AmerEika,817,I,196,153,True,False,False,False
du2PlYD0ZIIo1HGPo-Jq9KY2Ht24QA4OUJZqD_0Y5xUwA80,Spooky iwnl,909,I,141,95,False,False,False,False
TTaEEyPETiWr3YwUDIjWaZH2BcODAxUTFRifPiC92xSiHX0,Eau distillée,858,I,163,117,False,False,True,True
j358Eh8XSxT0fxY1VYx2ryf3xGzZ_-O4jTCYzLjAnaVIdnA,tsprks,871,I,87,42,False,False,True,True
YDRWOmemOA7C_3CEZi7Nehytz9rz2X3XCJb3TLsndSnzMng,Odysseus131,1144,I,188,135,True,False,False,False
eqX0OR2pT95kfsGGuvuGP8fsMVp0fD6BhroWPkFLLDEPq7A,Razørk Activoo,1452,I,198,126,True,False,False,False
u6Bdbkr1xcBTGstrHuVIZEYTZMhEcF-h0i8qGDfDSbaFrzWm,GR0OT,851,I,116,72,False,False,True,False
i4uvhPgtKAY6aIDFffei9PofedNNvXsZ8X0L4X49GaK-x9iF,Hunt the egoist,923,I,355,302,False,False,True,False
CK6efaYpvZ5tE_REuxkensl-MTL7SEVZxVFff6ixdpo2Ys4,BACA 2026,998,I,180,134,True,False,False,False
wVFWI248vRvRppsaVkF7r638cx1VXuT7ViKcbqkvnbVPYe0,TTV Potent213,1462,I,199,131,True,False,False,False
CcvbvGy8Q6ocnSkI1tIlGD6Xku45l7JpinMuTkVyhLl8jrQ,Boukada,1100,I,169,126,True,False,False,False
k69x5YK5rfm3z33XTQQUcyc8NPasJSS4vsONycnifYzsQfM,unforgiven 1,1176,I,263,217,True,False,False,True
fvFjZocLsvd2uQxqaaG_H62iS508YXEcQT1qtHDN05Bw2lqFjCrWyGBZWw,zyb,1329,I,198,137,True,False,False,False
ZCFErtYvVyLFfSGrjRO9ySrSSJx8vQZ9c0tVT677f7HeMSg,DONATELL0,1161,I,233,177,True,False,False,True
oMV9NY6JiijEzPltXm_JVbUfFgFL0hYZRj7nL2CECs81zgi8,RELATIVOOO,1056,I,135,85,False,False,False,False
oMWO8oPh8QhNhyi52RpiXZtjYqP9jmYpPe0hlEOZQY27IMVr,Danmairen,871,I,69,21,False,False,True,True
w5ntb8Flx6kzI_haDWqDpnFZzpKgHm79xQzC9tg-IRc86aHrGTaP6KW17w,VΙadi,1221,I,338,272,True,False,False,False
R0fLvvprpWo7fuGAS3hi0AFYuOyDiIU4H4iU8KBRWl1y1h0,Vizícsacsi,873,I,103,59,False,False,False,False
pYJU0WISrUg8Uki3hCZHUXpP_5LfomgAHAVDA7ZTvq4TqnzbkTF8kaa9vw,byz,1061,I,85,35,False,False,False,False
0fvVsc2DEUGMFSFWzy51Fx4_jPz_tnvmrR1vEAY48eVtWxuW,METROOOOOOOOO,1086,I,144,88,True,False,False,False
HeHGbqIBAuK9BhfeHQxE4o5fwsfNHo-tFktcER5qH1rB0JIs,Odi11,1230,I,250,172,True,False,False,True
KzuGqypdM4CWVkdu1QreexTSsxI5Rf6hceXq4giUsjl39Pc,Kieran Tierney,1228,I,167,100,True,False,False,True
9tRSDRs6adrcJpUFSt6GDPltQbjbVRPpsYAIpFfw9kyB4MM,Tezhak,905,I,214,169,False,False,True,True
vUSdE-TeKxaFuv3yu2lClvjiOeMX72OJIzQvR2Brs2ebioKwvE7Qi3JQ4w,IIIllllIIIl,932,I,117,69,False,False,False,False
AANqgxDRjiQ2H8CwTMlBB-loVRiy_SZ4pHZusSzTJRr10pM,SlowQ,1081,I,142,85,False,False,False,False
k9lfXiXtqnXt7yocXQj9kws_v-xfoXm8x40tqMBYPaiOHamsXYfqn5ROgw,30th of November,857,I,468,424,False,False,True,True
dmKSUnGi_C8lB1Akr9CF7vS_Dl3vcaA8OQt9zo_K3Wa4zLY,17 03 2024,955,I,314,271,False,False,False,False
w_TdzH-7PGAqjUrfFzcqfODykW30iRLlud7Vab26LdHhQZ4e3P8GGxCE9w,Desperate Nasus,876,I,148,104,False,False,False,False
k92cGL_2DUMTrGiw_x1IrHQelyq92bHpzmir1TVNN4is8l6WxV4qzhiL1g,LPL DNA TEST ACC,1018,I,383,329,False,False,False,False
zksl9bhBqYBz8nKl8FbJ2IhSVrV95zD6_kA2TEL9lgQaDRxQrs_XxNwhxw,DETDERT TWITCHTV,902,I,346,303,False,False,True,False
SsPJNM1o11qyDxSJh00GPelY-4qXGSP_r0PGdCD99JnzzOo,Moché,1071,I,183,127,True,False,False,False
gef9pOSFLJ2laccn-zAn9X0spy-qd5cqbQY428w9PD-vOVzfHedt0GYkJA,TWITTER OPAT04XD,901,I,181,146,True,False,False,False
lar-Rsn8MetHL-4ObGNhnegDAZIzhvoawcY9D-w0kbhjPpM,dopaminefarmer69,863,I,189,139,False,False,False,False
wnXw5kjE-MzUk706uS6Taklz2bc8Gf0ObIbOFEfbzatiDeI,Bitten BuIIet,1207,I,139,79,True,False,False,False
svxn4p-7qpw97_rGYV3rmS5_KHKzKAFRBfHlXAYc4tF6F4U,Dekap,1065,I,217,172,True,False,False,False
vxWhiH0jGhblQ6B_3-ewRw8Z-wZohCmHIr8C6mefUdZB1UJkjZCFrIRLgg,,1002,I,181,131,False,False,True,False
OqdQA5-jXYyUBowGCZTeWGcAeQmhQDUTsu53VelNpDLcXWIN,Thørs Snorresson,1628,I,219,144,True,False,False,True
P47AZTvpwTchbnbxwQM6xyzcFzlUXCFZOhlgZlQPp6fK86c,agrsv,918,I,182,120,False,False,False,True
_6S3xr4vA-BnH9odf464aDE590OjXqfCFGpRxaIDNV_XNTM,RKRKZN,1032,I,279,229,False,False,True,False
zXVdUPpCl4IEt_QS7Cq3mfE6akVIFEaZklQVj3w0xT0WR0k,dridro,1008,I,166,123,True,False,False,True
kLKV2fRsdifVj6qoVIx_KoRFHWUf-92aQPKn74ZQRYNzmeA,Rayito,892,I,105,69,False,False,True,True
ISp_LXLXo4wF2ygaH5kmWXC_gKp5JnKBG-ErpTimW1Fgny0,alvarooo,915,I,233,194,True,False,False,False
67piyYoYHlCip-UagstiHpPKL_0D_vMZr2z0ZR38qp6pLMujIIlB-qhzMg,H 6 O 6 P 6 E,874,I,204,160,False,False,False,False
iWHcToPltKtf_Rv42GIsPbjhDf_R4lJyeAnxP_RjlkYnjwY,h1gh society,884,I,106,64,False,False,True,False
